date,open,high,low,close,volume,ticker,exchange,trade
2020-04-28,7777.05,7782.01,7670.15,7748.5,44.404302,BTC/USDT,Binance,1
2020-04-29,7742.68,8955.58,7713.01,8778.63,320.888147,BTC/USDT,Binance,1
2020-04-30,8782.65,9450.76,8404.31,8630.86,384.675439,BTC/USDT,Binance,1
2020-05-01,8628.07,9051.55,8617.99,8817.65,137.638493,BTC/USDT,Binance,1
2020-05-02,8818.22,9014.77,8757.77,8972.68,59.469765,BTC/USDT,Binance,1
2020-05-03,8973.85,9196.27,8718.08,8887.35,210.049083,BTC/USDT,Binance,1
2020-05-04,8896.62,8954.26,8528.63,8868.92,198.32248,BTC/USDT,Binance,1
2020-05-05,8878.25,9105.2,8772.22,9027.64,133.86243,BTC/USDT,Binance,1
2020-05-06,9022.44,9396.16,8918.99,9145.93,242.577093,BTC/USDT,Binance,1
2020-05-07,9132.52,10063.93,9010.0,9991.11,340.351689,BTC/USDT,Binance,1
2020-05-08,10001.44,10032.58,9717.86,9810.32,138.251436,BTC/USDT,Binance,1
2020-05-09,9805.88,9900.0,9507.03,9539.68,145.785194,BTC/USDT,Binance,1
2020-05-10,9531.93,9569.31,8127.14,8726.3,600.65983,BTC/USDT,Binance,1
2020-05-11,8730.15,9162.08,8200.0,8561.03,399.574609,BTC/USDT,Binance,1
2020-05-12,8560.18,8973.14,8533.72,8810.0,153.606379,BTC/USDT,Binance,1
2020-05-13,8808.62,9398.12,8800.91,9295.0,167.297195,BTC/USDT,Binance,1
2020-05-14,9305.22,9936.94,9264.35,9792.25,247.695074,BTC/USDT,Binance,1
2020-05-15,9796.68,9839.59,9142.29,9311.55,314.061281,BTC/USDT,Binance,1
2020-05-16,9314.71,9574.09,9224.81,9387.32,136.890462,BTC/USDT,Binance,1
2020-05-17,9384.97,9883.77,9340.55,9675.9,192.143024,BTC/USDT,Binance,1
2020-05-18,9682.67,9953.2,9433.42,9735.91,228.596217,BTC/USDT,Binance,1
2020-05-19,9738.69,9893.93,9476.26,9771.9,166.998021,BTC/USDT,Binance,1
2020-05-20,9776.96,9836.6,9318.19,9520.76,186.184663,BTC/USDT,Binance,1
2020-05-21,9506.65,9564.73,8823.84,9058.33,241.577746,BTC/USDT,Binance,1
2020-05-22,9057.15,9260.9,8940.0,9169.41,124.68715,BTC/USDT,Binance,1
2020-05-23,9166.81,9302.52,9091.22,9174.47,57.329497,BTC/USDT,Binance,1
2020-05-24,9177.48,9297.7,8684.62,8716.23,189.507228,BTC/USDT,Binance,1
2020-05-25,8714.75,8979.62,8646.82,8890.24,176.878932,BTC/USDT,Binance,1
2020-05-26,8900.59,9013.41,8704.33,8839.14,92.653075,BTC/USDT,Binance,1
2020-05-27,8842.15,9225.75,8820.0,9202.0,109.34668,BTC/USDT,Binance,1
2020-05-28,9205.0,9621.93,9115.16,9578.52,134.297435,BTC/USDT,Binance,1
2020-05-29,9579.0,9603.73,9315.99,9424.31,74.027066,BTC/USDT,Binance,1
2020-05-30,9424.49,9739.0,9342.66,9698.33,116.297491,BTC/USDT,Binance,1
2020-05-31,9701.31,9701.84,9398.65,9469.22,93.62073,BTC/USDT,Binance,1
2020-06-01,9449.84,10370.58,9424.72,10195.38,204.162993,BTC/USDT,Binance,1
2020-06-02,10200.0,10220.0,9283.85,9522.74,333.598459,BTC/USDT,Binance,1
2020-06-03,9514.23,9685.01,9391.9,9652.01,78.968367,BTC/USDT,Binance,1
2020-06-04,9669.5,9880.8,9455.0,9792.39,120.887073,BTC/USDT,Binance,1
2020-06-05,9790.74,9849.29,9602.38,9628.52,110.72022,BTC/USDT,Binance,1
2020-06-06,9613.97,9733.85,9537.9,9661.48,74.655262,BTC/USDT,Binance,1
2020-06-07,9667.25,9818.8,9365.7,9748.82,147.422656,BTC/USDT,Binance,1
2020-06-08,9750.29,9801.01,9633.08,9774.31,78.641054,BTC/USDT,Binance,1
2020-06-09,9781.05,9872.56,9560.14,9772.99,140.769326,BTC/USDT,Binance,1
2020-06-10,9764.48,9986.78,9695.99,9886.32,149.387852,BTC/USDT,Binance,1
2020-06-11,9886.35,9958.93,9081.1,9269.7,257.614062,BTC/USDT,Binance,1
2020-06-12,9258.29,9549.99,9242.21,9463.82,126.715209,BTC/USDT,Binance,1
2020-06-13,9463.82,9489.97,9351.22,9465.95,39.62649,BTC/USDT,Binance,1
2020-06-14,9462.31,9462.31,9245.04,9346.38,62.17131,BTC/USDT,Binance,1
2020-06-15,9323.26,9495.0,8923.23,9430.51,149.844349,BTC/USDT,Binance,1
2020-06-16,9421.95,9587.03,9377.5,9529.1,96.535418,BTC/USDT,Binance,1
2020-06-17,9528.14,9564.15,9250.0,9463.47,87.384654,BTC/USDT,Binance,1
2020-06-18,9463.85,9483.41,9286.73,9390.23,49.784917,BTC/USDT,Binance,1
2020-06-19,9385.73,9438.96,9242.62,9314.01,77.608082,BTC/USDT,Binance,1
2020-06-20,9307.95,9396.76,9167.99,9353.98,46.640534,BTC/USDT,Binance,1
2020-06-21,9358.32,9417.09,9283.57,9294.41,42.988649,BTC/USDT,Binance,1
2020-06-22,9291.44,9777.15,9271.84,9680.86,119.48478,BTC/USDT,Binance,1
2020-06-23,9689.28,9716.54,9550.0,9613.86,48.806607,BTC/USDT,Binance,1
2020-06-24,9625.71,9662.99,9211.35,9308.03,147.900737,BTC/USDT,Binance,1
2020-06-25,9294.78,9334.94,9002.74,9254.68,111.484607,BTC/USDT,Binance,1
2020-06-26,9249.2,9295.87,9050.0,9161.8,95.466447,BTC/USDT,Binance,1
2020-06-27,9162.35,9195.6,8835.06,9009.86,144.180415,BTC/USDT,Binance,1
2020-06-28,8993.25,9191.26,8943.61,9118.09,62.387264,BTC/USDT,Binance,1
2020-06-29,9119.02,9238.72,9027.5,9182.67,61.122479,BTC/USDT,Binance,1
2020-06-30,9198.47,9199.66,9063.2,9132.51,52.005473,BTC/USDT,Binance,1
2020-07-01,9132.29,9289.52,9090.31,9231.97,90.950834,BTC/USDT,Binance,1
2020-07-02,9232.35,9257.75,8948.28,9085.99,107.69768,BTC/USDT,Binance,1
2020-07-03,9080.24,9121.51,9042.4,9058.26,38.005977,BTC/USDT,Binance,1
2020-07-04,9056.63,9191.9,9043.13,9139.68,64.979986,BTC/USDT,Binance,1
2020-07-05,9137.3,9141.86,8909.4,9075.83,84.816948,BTC/USDT,Binance,1
2020-07-06,9067.38,9369.88,9056.59,9344.62,114.066302,BTC/USDT,Binance,1
2020-07-07,9344.15,9377.18,9206.54,9258.09,52.013121,BTC/USDT,Binance,1
2020-07-08,9262.19,9464.26,9233.38,9425.13,120.262634,BTC/USDT,Binance,1
2020-07-09,9429.96,9432.63,9170.0,9234.39,68.515538,BTC/USDT,Binance,1
2020-07-10,9232.87,9315.3,9125.78,9285.54,70.074404,BTC/USDT,Binance,1
2020-07-11,9288.49,9298.97,9180.0,9233.85,28.973751,BTC/USDT,Binance,1
2020-07-12,9230.97,9342.64,9159.78,9300.0,67.36077,BTC/USDT,Binance,1
2020-07-13,9300.0,9342.86,9198.53,9241.03,134.614116,BTC/USDT,Binance,1
2020-07-14,9241.88,9279.55,9107.84,9255.02,76.47142,BTC/USDT,Binance,1
2020-07-15,9254.55,9274.12,9159.37,9201.51,56.09703,BTC/USDT,Binance,1
2020-07-16,9196.53,9221.29,9043.3,9130.79,51.932473,BTC/USDT,Binance,1
2020-07-17,9135.09,9181.95,9089.05,9153.08,26.467403,BTC/USDT,Binance,1
2020-07-18,9147.68,9205.47,9122.89,9164.84,33.498036,BTC/USDT,Binance,1
2020-07-19,9170.52,9230.85,9106.76,9210.99,33.556284,BTC/USDT,Binance,1
2020-07-20,9215.16,9220.16,9136.12,9162.0,49.3685,BTC/USDT,Binance,1
2020-07-21,9162.0,9431.33,9154.02,9386.46,137.426654,BTC/USDT,Binance,1
2020-07-22,9388.52,9541.97,9285.13,9518.56,87.148336,BTC/USDT,Binance,1
2020-07-23,9520.51,9661.18,9450.0,9608.7,95.568669,BTC/USDT,Binance,1
2020-07-24,9601.25,9633.98,9474.37,9542.14,81.623787,BTC/USDT,Binance,1
2020-07-25,9541.82,9729.47,9535.47,9699.66,135.852592,BTC/USDT,Binance,1
2020-07-26,9689.94,10130.38,9652.79,9919.91,240.596076,BTC/USDT,Binance,1
2020-07-27,9933.23,11387.17,9923.16,11025.59,1050.896514,BTC/USDT,Binance,1
2020-07-28,11032.42,11236.42,10587.94,10912.79,528.408639,BTC/USDT,Binance,1
2020-07-29,10908.96,11339.99,10833.19,11100.0,159.445256,BTC/USDT,Binance,1
2020-07-30,11083.58,11168.31,10833.85,11100.77,84.020996,BTC/USDT,Binance,1
2020-07-31,11100.76,11436.77,10963.8,11342.27,120.559704,BTC/USDT,Binance,1
2020-08-01,11339.93,11857.49,11229.46,11807.44,181.397571,BTC/USDT,Binance,1
2020-08-02,11795.37,12106.78,10601.02,11051.39,331.082702,BTC/USDT,Binance,1
2020-08-03,11071.37,11474.76,10930.95,11218.62,151.111532,BTC/USDT,Binance,1
2020-08-04,11219.18,11414.12,11017.99,11174.62,136.617914,BTC/USDT,Binance,1
2020-08-05,11190.23,11779.04,11091.69,11749.51,169.299941,BTC/USDT,Binance,1
2020-08-06,11748.49,11902.45,11572.96,11760.52,108.645536,BTC/USDT,Binance,1
2020-08-07,11762.52,11904.26,11503.63,11572.13,110.611031,BTC/USDT,Binance,1
2020-08-08,11592.57,11803.91,11527.84,11753.11,129.942061,BTC/USDT,Binance,1
2020-08-09,11762.89,11795.97,11530.0,11667.78,82.826894,BTC/USDT,Binance,1
2020-08-10,11681.74,12059.94,11442.01,11882.65,171.984429,BTC/USDT,Binance,1
2020-08-11,11891.62,11934.6,11119.32,11392.15,176.360102,BTC/USDT,Binance,1
2020-08-12,11389.33,11618.25,11146.46,11566.44,94.555925,BTC/USDT,Binance,1
2020-08-13,11571.37,11790.01,11276.57,11764.66,128.801882,BTC/USDT,Binance,1
2020-08-14,11787.67,11853.21,11638.15,11760.4,119.845929,BTC/USDT,Binance,1
2020-08-15,11762.81,11976.18,11691.56,11867.17,104.310058,BTC/USDT,Binance,1
2020-08-16,11851.89,11928.76,11692.07,11912.1,41.130538,BTC/USDT,Binance,1
2020-08-17,11913.37,12464.2,11770.68,12271.4,202.88071,BTC/USDT,Binance,1
2020-08-18,12285.28,12384.95,11820.0,11957.77,139.84325,BTC/USDT,Binance,1
2020-08-19,11941.63,12001.73,11565.01,11742.87,167.012969,BTC/USDT,Binance,1
2020-08-20,11750.08,11878.82,11678.38,11864.51,56.581385,BTC/USDT,Binance,1
2020-08-21,11851.42,11879.76,11490.0,11528.2,114.564867,BTC/USDT,Binance,1
2020-08-22,11514.42,11684.68,11384.2,11658.24,53.6814,BTC/USDT,Binance,1
2020-08-23,11656.27,11706.78,11515.35,11649.35,27.752399,BTC/USDT,Binance,1
2020-08-24,11649.27,11827.84,11385.16,11759.18,191.348515,BTC/USDT,Binance,1
2020-08-25,11744.45,11761.99,11125.0,11329.12,105.545491,BTC/USDT,Binance,1
2020-08-26,11317.73,11536.32,11255.11,11466.43,55.228375,BTC/USDT,Binance,1
2020-08-27,11460.4,11588.68,11125.66,11320.03,121.947578,BTC/USDT,Binance,1
2020-08-28,11329.22,11539.86,11275.76,11527.41,59.705649,BTC/USDT,Binance,1
2020-08-29,11527.41,11573.28,11420.47,11481.9,42.574429,BTC/USDT,Binance,1
2020-08-30,11467.58,11710.0,11467.58,11692.8,41.284754,BTC/USDT,Binance,1
2020-08-31,11714.43,11773.44,11575.0,11655.0,60.363601,BTC/USDT,Binance,1
2020-09-01,11648.13,12048.89,11532.85,11915.67,83.807537,BTC/USDT,Binance,1
2020-09-02,11913.71,11947.02,11161.84,11385.77,170.701557,BTC/USDT,Binance,1
2020-09-03,11382.69,11455.74,9976.71,10158.14,318.497458,BTC/USDT,Binance,1
2020-09-04,10149.12,10618.52,9907.49,10459.2,250.945714,BTC/USDT,Binance,1
2020-09-05,10443.53,10560.98,9826.51,10147.46,333.873799,BTC/USDT,Binance,1
2020-09-06,10170.2,10335.04,10002.52,10250.85,85.717951,BTC/USDT,Binance,1
2020-09-07,10249.99,10403.75,9875.32,10356.73,160.5332,BTC/USDT,Binance,1
2020-09-08,10386.73,10438.09,9844.19,10120.33,266.811627,BTC/USDT,Binance,1
2020-09-09,10126.18,10348.12,9981.24,10214.95,64.174465,BTC/USDT,Binance,1
2020-09-10,10212.98,10475.88,10212.98,10338.7,85.8209,BTC/USDT,Binance,1
2020-09-11,10335.36,10398.01,10201.72,10389.64,46.121523,BTC/USDT,Binance,1
2020-09-12,10396.34,10478.71,10274.92,10440.68,48.727279,BTC/USDT,Binance,1
2020-09-13,10447.72,10576.06,10215.95,10316.74,80.157771,BTC/USDT,Binance,1
2020-09-14,10324.08,10754.08,10247.48,10656.2,93.321583,BTC/USDT,Binance,1
2020-09-15,10674.48,10926.64,10617.66,10765.22,87.000065,BTC/USDT,Binance,1
2020-09-16,10779.76,11089.47,10667.62,10948.61,68.511269,BTC/USDT,Binance,1
2020-09-17,10951.48,11044.24,10748.77,10941.2,89.084524,BTC/USDT,Binance,1
2020-09-18,10942.84,11036.46,10814.42,10934.34,60.137806,BTC/USDT,Binance,1
2020-09-19,10933.91,11181.99,10894.54,11079.87,55.339778,BTC/USDT,Binance,1
2020-09-20,11066.01,11075.73,10763.18,10913.29,71.554164,BTC/USDT,Binance,1
2020-09-21,10923.84,10987.0,10298.1,10430.45,91.00968,BTC/USDT,Binance,1
2020-09-22,10419.57,10573.23,10361.39,10520.66,48.576996,BTC/USDT,Binance,1
2020-09-23,10529.4,10533.36,10145.54,10231.48,117.267695,BTC/USDT,Binance,1
2020-09-24,10242.56,10789.58,10209.09,10732.42,88.732532,BTC/USDT,Binance,1
2020-09-25,10736.88,10761.38,10525.5,10680.3,93.693196,BTC/USDT,Binance,1
2020-09-26,10686.29,10814.86,10650.24,10728.21,45.319597,BTC/USDT,Binance,1
2020-09-27,10738.3,10799.34,10596.51,10769.13,37.35364,BTC/USDT,Binance,1
2020-09-28,10782.36,10940.96,10644.91,10700.46,116.440201,BTC/USDT,Binance,1
2020-09-29,10690.79,10867.58,10636.31,10841.38,52.665951,BTC/USDT,Binance,1
2020-09-30,10845.75,10851.53,10664.15,10772.67,38.973629,BTC/USDT,Binance,1
2020-10-01,10782.79,10912.76,10456.66,10621.97,144.012703,BTC/USDT,Binance,1
2020-10-02,10595.89,10660.0,10379.18,10570.64,114.649594,BTC/USDT,Binance,1
2020-10-03,10570.48,10599.24,10497.13,10539.04,23.280934,BTC/USDT,Binance,1
2020-10-04,10532.08,10699.07,10523.1,10666.54,37.834739,BTC/USDT,Binance,1
2020-10-05,10661.45,10786.07,10619.54,10783.0,56.935442,BTC/USDT,Binance,1
2020-10-06,10796.67,10796.67,10528.95,10598.86,77.009374,BTC/USDT,Binance,1
